lead_time_group,all_bookings,cancellations,late_3_days,late_7_days,late_14_days,cancellation_rate_pct,late_3_days_rate,late_7_days_rate,late_14_days_rate
0-7 days,803,74,48,74,74,9.21544209215442,5.9775840597758405,9.21544209215442,9.21544209215442
8-30 days,1289,414,29,119,241,32.117920868890614,2.2498060512024827,9.231962761830877,18.696664080682698
31-90 days,1936,761,35,73,135,39.30785123966942,1.8078512396694215,3.770661157024793,6.973140495867769
91+ days,2363,1087,25,47,99,46.000846381718155,1.0579771476936097,1.9889970376639865,4.189589504866695
